Country of Birth,2015,2016,2017
      Total,"1,051,031","1,183,505","1,127,167"
Afghanistan,"8,328","12,513","19,538"
Albania,"4,653","5,773","5,722"
Algeria,"1,775","2,180","2,139"
American Samoa,-,-,D
Angola,154,198,209
Anguilla,22,20,23
Antigua and Barbuda,290,324,322
Argentina,"3,730","4,091","3,482"
Armenia,"2,962","3,543","3,437"
Aruba,38,23,47
Australia,"3,034","3,239","2,906"
Austria,474,432,387
Azerbaijan,676,784,881
Bahamas,725,656,725
Bahrain,145,138,130
Bangladesh,"13,570","18,723","14,693"
Barbados,376,371,373
Belarus,"1,994","2,127","1,919"
Belgium,662,691,625
Belize,772,851,746
Benin,466,577,648
Bermuda,112,99,68
Bhutan,"6,325","4,217","2,940"
Bolivia,"1,626","1,595","1,510"
Bosnia and Herzegovina,859,971,846
Botswana,61,78,112
Brazil,"11,424","13,812","14,989"
Brunei,21,31,24
Bulgaria,"2,688","2,670","2,184"
Burkina Faso,575,642,541
Burma,"12,808","13,065","12,897"
Burundi,351,415,"1,094"
Cabo Verde,"1,253","2,242","2,618"
Cambodia,"1,868","3,173","4,056"
Cameroon,"4,374","4,899","4,668"
Canada,"12,673","12,793","11,484"
Cayman Islands,53,55,67
Central African Republic,234,202,178
Chad,175,136,205
Chile,"1,596","1,698","1,625"
"China, People's Republic","74,558","81,772","71,565"
Colombia,"17,316","18,610","17,956"
Comoros,5,4,4
"Congo, Democratic Republic","5,345","6,791","8,709"
"Congo, Republic",496,625,632
Costa Rica,"2,029","2,224","2,184"
Cote d'Ivoire,"1,497","1,617","1,810"
Croatia,348,388,375
Cuba,"54,396","66,516","65,028"
Curacao,22,35,34
Cyprus,113,131,117
Czechia,637,650,582
Czechoslovakia (former),58,62,52
Denmark,609,521,461
Djibouti,370,281,222
Dominica,229,298,510
Dominican Republic,"50,610","61,161","58,520"
Ecuador,"10,187","10,757","10,594"
Egypt,"12,085","12,045","9,834"
El Salvador,"19,487","23,449","25,109"
Equatorial Guinea,25,18,20
Eritrea,"2,220","2,267","2,449"
Estonia,189,211,176
Ethiopia,"11,394","13,232","14,637"
Fiji,875,866,805
Finland,407,489,439
France,"4,693","5,159","4,782"
French Polynesia,14,27,20
Gabon,146,165,150
Gambia,"1,142","1,247","1,134"
Georgia,"1,410","1,635","1,629"
Germany,"5,436","5,306","4,662"
Ghana,"6,186","6,949","8,455"
Greece,"1,211","1,451","1,314"
Grenada,525,585,544
Guatemala,"11,773","13,002","13,198"
Guinea,"1,389","1,501","1,348"
Guinea-Bissau,39,37,48
Guyana,"5,543","5,771","5,468"
Haiti,"16,967","23,584","21,824"
Honduras,"9,274","13,302","11,387"
Hong Kong,"2,085","2,510","2,415"
Hungary,"1,095","1,048",972
Iceland,104,97,86
India,"64,116","64,687","60,394"
Indonesia,"2,084","2,129","1,914"
Iran,"13,114","13,298","13,791"
Iraq,"21,107","18,904","14,203"
Ireland,"1,607","1,759","1,485"
Israel,"3,965","4,142","3,802"
Italy,"3,544","4,078","3,655"
Jamaica,"17,642","23,350","21,905"
Japan,"5,395","5,207","4,635"
Jordan,"4,664","5,269","5,264"
Kazakhstan,"1,201","1,310","1,377"
Kenya,"5,602","6,274","6,957"
Kiribati,4,9,D
"Korea, North",55,47,32
"Korea, South 1","17,138","21,801","19,194"
Kosovo,814,"1,020","1,014"
Kuwait,"1,055","1,186","1,177"
Kyrgyzstan,790,847,715
Laos,917,856,685
Latvia,480,391,359
Lebanon,"2,813","2,971","2,818"
Lesotho,23,19,24
Liberia,"3,795","3,619","4,155"
Libya,734,642,780
Lithuania,750,735,645
Luxembourg,27,34,33
Macau,99,109,109
Macedonia,"1,060","1,262","1,027"
Madagascar,72,88,60
Malawi,160,205,228
Malaysia,"2,749","3,382","4,109"
Maldives,8,11,5
Mali,587,598,544
Malta,58,65,75
Marshall Islands,32,32,23
Mauritania,298,317,287
Mauritius,96,110,96
Mexico,"158,619","174,534","170,581"
"Micronesia, Federated States",6,11,6
Moldova,"2,496","2,929","2,480"
Monaco,10,11,14
Mongolia,644,750,661
Montenegro,251,387,323
Montserrat,14,14,12
Morocco,"3,710","4,586","4,229"
Mozambique,107,101,96
Namibia,86,87,130
Nepal,"12,926","12,851","11,610"
Netherlands,"1,309","1,319","1,056"
Netherlands Antilles (former),22,18,9
New Caledonia,9,5,4
New Zealand,855,846,798
Nicaragua,"3,324","3,486","3,072"
Niger,55,119,116
Nigeria,"11,542","14,380","13,539"
Norway,310,362,290
Oman,85,116,104
Pakistan,"18,057","19,313","17,408"
Palau,15,14,13
Panama,"1,052","1,029",889
Papua New Guinea,11,23,18
Paraguay,382,434,391
Peru,"10,148","10,940","10,115"
Philippines,"56,478","53,287","49,147"
Poland,"5,275","5,603","4,845"
Portugal,857,"1,006",939
Qatar,229,272,224
Romania,"3,376","3,554","2,953"
Russia,"8,799","9,297","8,918"
Rwanda,732,"1,357","1,394"
Saint Kitts and Nevis,222,250,238
Saint Lucia,739,777,777
Saint Vincent and the Grenadines,415,422,361
Samoa,207,219,194
Sao Tome and Principe,6,12,10
Saudi Arabia,"1,744","2,117","2,135"
Senegal,"1,244","1,533","1,470"
Serbia,"1,278","1,351","1,410"
Serbia and Montenegro (former),232,202,144
Seychelles,11,16,10
Sierra Leone,"1,599","1,535","2,058"
Singapore,781,812,818
Sint Maarten,45,42,35
Slovakia,424,483,388
Slovenia,107,119,108
Somalia,"6,796","6,958","7,404"
South Africa,"2,907","3,023","2,912"
South Sudan,127,124,160
Soviet Union (former),"1,022","1,042",939
Spain,"3,303","3,519","3,045"
Sri Lanka,"1,763","1,913","1,627"
Sudan,"3,580","3,159","3,515"
Suriname,134,156,136
Swaziland,19,20,19
Sweden,"1,066","1,144",950
Switzerland,640,743,565
Syria,"3,840","4,800","5,877"
Taiwan,"4,888","5,120","4,858"
Tajikistan,595,593,652
Tanzania,799,788,"1,415"
Thailand,"7,502","7,039","6,311"
Togo,"1,547","1,938","1,572"
Tonga,327,283,262
Trinidad and Tobago,"3,212","3,469","3,100"
Tunisia,518,518,535
Turkey,"4,201","4,469","4,844"
Turkmenistan,226,235,251
Turks and Caicos Islands,38,39,35
Uganda,"1,664","1,649","1,898"
Ukraine,"7,987","10,422","10,135"
United Arab Emirates,"1,193","1,370","1,314"
United Kingdom,"12,592","12,673","10,948"
United States,370,468,409
Uruguay,"1,078",972,"1,001"
Uzbekistan,"3,977","4,359","4,095"
Venezuela,"9,144","10,772","11,809"
Vietnam,"30,832","41,451","38,231"
"Virgin Islands, British",38,40,25
Yemen,"3,194","13,040","6,029"
Zambia,460,487,537
Zimbabwe,779,815,810
All other countries 2,35,34,37
Unknown,677,"1,724","1,468"
