Region of Birth,2015,2016,2017
      Total,"1,051,031","1,051,031","1,051,031"
Afghanistan,"8,328","8,328","8,328"
Albania,"4,653","4,653","4,653"
Algeria,"1,775","1,775","1,775"
American Samoa,-,-,-
Angola,154,154,154
Anguilla,22,22,22
Antigua and Barbuda,290,290,290
Argentina,"3,730","3,730","3,730"
Armenia,"2,962","2,962","2,962"
Aruba,38,38,38
Australia,"3,034","3,034","3,034"
Austria,474,474,474
Azerbaijan,676,676,676
Bahamas,725,725,725
Bahrain,145,145,145
Bangladesh,"13,570","13,570","13,570"
Barbados,376,376,376
Belarus,"1,994","1,994","1,994"
Belgium,662,662,662
Belize,772,772,772
Benin,466,466,466
Bermuda,112,112,112
Bhutan,"6,325","6,325","6,325"
Bolivia,"1,626","1,626","1,626"
Bosnia and Herzegovina,859,859,859
Botswana,61,61,61
Brazil,"11,424","11,424","11,424"
Brunei,21,21,21
Bulgaria,"2,688","2,688","2,688"
Burkina Faso,575,575,575
Burma,"12,808","12,808","12,808"
Burundi,351,351,351
Cabo Verde,"1,253","1,253","1,253"
Cambodia,"1,868","1,868","1,868"
Cameroon,"4,374","4,374","4,374"
Canada,"12,673","12,673","12,673"
Cayman Islands,53,53,53
Central African Republic,234,234,234
Chad,175,175,175
Chile,"1,596","1,596","1,596"
"China, People's Republic","74,558","74,558","74,558"
Colombia,"17,316","17,316","17,316"
Comoros,5,5,5
"Congo, Democratic Republic","5,345","5,345","5,345"
"Congo, Republic",496,496,496
Costa Rica,"2,029","2,029","2,029"
Cote d'Ivoire,"1,497","1,497","1,497"
Croatia,348,348,348
Cuba,"54,396","54,396","54,396"
Curacao,22,22,22
Cyprus,113,113,113
Czechia,637,637,637
Czechoslovakia (former),58,58,58
Denmark,609,609,609
Djibouti,370,370,370
Dominica,229,229,229
Dominican Republic,"50,610","50,610","50,610"
Ecuador,"10,187","10,187","10,187"
Egypt,"12,085","12,085","12,085"
El Salvador,"19,487","19,487","19,487"
Equatorial Guinea,25,25,25
Eritrea,"2,220","2,220","2,220"
Estonia,189,189,189
Ethiopia,"11,394","11,394","11,394"
Fiji,875,875,875
Finland,407,407,407
France,"4,693","4,693","4,693"
French Polynesia,14,14,14
Gabon,146,146,146
Gambia,"1,142","1,142","1,142"
Georgia,"1,410","1,410","1,410"
Germany,"5,436","5,436","5,436"
Ghana,"6,186","6,186","6,186"
